human,mouse
CCNK,Ccnk
KCNS3,Kcns3
EOMES,Eomes
PSMB9,Psmb9
MSGN1,Msgn1
GEMIN7,Gemin7
EVI2A,Evi2a
PINLYP,Pinlyp
FHIT,Fhit
PPP1CB,Ppp1cb
C3orf30,4930435E12Rik
FBXO48,Fbxo48
LIMCH1,Limch1
DAPP1,Dapp1
SERINC3,Serinc3
UBIAD1,Ubiad1
SPATA31A5,Spata31
TEX13B,Tex13b
TEX13B,Tex13a
ELAC1,Elac1
ASB11,Asb11
IL12RB2,Il12rb2
C1orf174,A430005L14Rik
IZUMO2,Izumo2
THEGL,Thegl
RIT1,Rit1
TNRC6A,Tnrc6a
ENO3,Eno3
SLC28A2,Gm14085
SLC28A2,Slc28a2
C22orf39,Gm28539
C22orf39,2510002D24Rik
STPG3,Stpg3
TXNDC17,Txndc17
TAF4B,Taf4b
C5orf42,2410089E03Rik
OR12D1,Olfr103
OR12D1,Olfr101
OR12D1,Olfr102
EXO5,Exo5
MRPL24,Mrpl24
TXNDC2,Txndc2
LSAMP,Lsamp
FAIM,Faiml
FAIM,Faim
EPS8L2,Eps8l2
MIS18A,Mis18a
CD99L2,Cd99l2
C8A,C8a
GLIS2,Glis2
TCTEX1D2,Tctex1d2
DHRS13,Dhrs13
FRMPD3,Frmpd3
PSMA8,Psma8
TMEM184C,Tmem184c
CORO7-PAM16,Coro7
TAF1C,Taf1c
CCT4,Cct4
KRT7,Krt7
NEUROG2,Neurog2
C14orf93,4931414P19Rik
SPEG,Speg
PSMD14,Psmd14
CERS6,Cers6
RABL6,Rabl6
ZC3H15,Zc3h15
BMP5,Bmp5
LANCL2,Lancl2
TCF25,Tcf25
MVB12B,Mvb12b
LRRC8A,Lrrc8a
LRRC8A,Gm28035
CYP1A2,Cyp1a2
PLTP,Pltp
CD53,Cd53
TRAPPC11,Trappc11
HCN1,Hcn1
UROD,Urod
SH3GL1,Sh3gl1
CST2,Cst10
TOPORS,Topors
ANKRD44,Ankrd44
GADD45A,Gadd45a
MRPS30,Mrps30
PROK2,Prok2
PTBP1,Ptbp1
FOXL2,Foxl2
MUT,Mut
ERBIN,Erbin
TGM2,Tgm2
IFFO2,Gm21969
IFFO2,Iffo2
PRPF4B,Prpf4b
SEPT6,Sept6
NEDD9,Nedd9
NOVA2,Nova2
PCID2,Pcid2
ALG1L2,Alg1
SPOCD1,Spocd1
TNFRSF4,Tnfrsf4
SRP72,Srp72
CRABP1,Crabp1
OR52E4,Olfr677
ESF1,Esf1
GIPC2,Gipc2
CT47A8,Gm6268
SLC45A1,Slc45a1
OR10C1,Olfr95
CTB-102L5.4,Spint1
KBTBD6,Kbtbd6
ADAD2,Adad2
CFAP45,Cfap45
ASPA,Aspa
EFHB,Efhb
FANCA,Fanca
COMMD1,Commd1
COMMD1,Gm28048
VPS9D1,Vps9d1
ACKR4,Ackr4
SPATA22,Spata22
PDZD4,Pdzd4
GPATCH11,Gpatch11
G6PD,G6pdx
G6PD,G6pd2
SLC25A12,Slc25a12
DUSP16,Dusp16
IAPP,Iapp
ZDHHC19,Zdhhc19
CLCA1,Clca1
RNF126,Rnf126
YIPF6,Yipf6
FLOT2,Flot2
CLIP3,Clip3
ALKAL2,Fam150b
PLPP3,Plpp3
TXNRD3,Txnrd3
ONECUT3,Onecut3
SPATA31D3,1700014D04Rik
SPATA31D3,Spata31d1a
SPATA31D3,Spata31d1c
SPATA31D3,Spata31d1b
SPATA31D3,Spata31d1d
FBP2,Fbp2
FAM49A,Fam49a
ACADSB,Acadsb
ZNF107,Zfp759
ZNF107,Zfp729b
ZNF107,Zfp729a
ZNF107,Zfp458
CFB,Cfb
CFB,Gm20547
C3orf22,BC048671
CHST13,Chst13
CMYA5,Cmya5
ADH7,Adh7
SEC31B,Sec31b
POM121L12,Pom121l12
KCNC1,Kcnc1
ZMYM5,Zmym5
GEMIN8,Gemin8
CHST10,Chst10
ANKRD33B,Ankrd33b
OR4K2,Olfr730
KANSL2,Kansl2
TBC1D19,Tbc1d19
HERC4,Herc4
TPD52L2,Tpd52l2
ZNF473,Zfp473
CCNG2,Ccng2
FGF7,Fgf7
TCAIM,Tcaim
SCN1A,Scn1a
F11R,F11r
COPS2,Cops2
GHRH,Ghrh
ZNF143,Zfp143
RAP1GAP2,Rap1gap2
CNPY2,Cnpy2
EPOR,Epor
SIPA1L3,Sipa1l3
PTGER1,Ptger1
AVPI1,Avpi1
NCOA1,Ncoa1
RP11-49P4.7,6430628N08Rik
EXOSC10,Exosc10
MAGEA8,Magea1
MAGEA8,Magea10
MAGEA8,Magea8
MAGEA8,Magea2
MAGEA8,Magea6
MAGEA8,3830417A13Rik
MAGEA8,1700080O16Rik
MAGEA8,Magea3
MAGEA8,Magea5
MAGEA8,Magea4
BSND,Bsnd
NPSR1,Npsr1
KIF22,Kif22
AMY1B,Amy2a4
AMY1B,Amy2a2
AMY1B,Amy2a3
AMY1B,Amy1
AMY1B,Amy2a1
AMY1B,Amy2a5
CCDC50,Ccdc50
USP14,Usp14
SLC25A27,Slc25a27
EDEM1,Edem1
MARCH6,March6
NAXE,Apoa1bp
DHCR24,Dhcr24
CHCHD4,Chchd4
CHCHD4,AU015836
YWHAQ,Ywhaq
GABRB3,Gabrb3
TCTEX1D1,Tctex1d1
RPS8,Rps8
DLG5,Dlg5
CTSS,Ctss
UTS2B,Uts2b
SP140L,AC168977.2
SP140L,AC133103.3
SP140L,Sp100
TMEM240,Tmem240
AGPS,Agps
NUDT11,Nudt10
NUDT11,Nudt11
TRPM5,Trpm5
PRSS51,Prss51
OR5AU1,Olfr221
IL13RA1,Il13ra1
TDRD6,Tdrd6
PRSS55,Prss55
DPPA4,Dppa4
PLA2G7,Pla2g7
ZNF521,Zfp521
KIF2C,Kif2c
THOC1,Thoc1
MTCL1,Mtcl1
TTC30B,Ttc30b
TTC30B,Ttc30a1
TTC30B,Ttc30a2
JMY,Jmy
PTX4,Ptx4
NME8,Nme8
CASP3,Casp3
SUMF1,Sumf1
TET1,Tet1
KMT2D,Kmt2d
C14orf79,BC022687
TTLL12,Ttll12
RNF149,Rnf149
PGAP3,Pgap3
TRIM56,Trim56
RSPH9,Rsph9
TRMT44,Trmt44
BNIP3L,Bnip3l
UNKL,Gm5819
UNKL,Unkl
OR2B6,Olfr11
MED18,Med18
SESN2,Sesn2
RARS2,Rars2
ATP8B4,Atp8b4
SMG9,Smg9
CEND1,Cend1
GFPT1,Gfpt1
C1orf87,Gm12695
MEIS2,Meis2
MCC,Mcc
MBD5,Mbd5
CRISPLD2,Crispld2
GABRQ,Gabrq
FAM13C,Fam13c
FGFRL1,Fgfrl1
U2AF1L4,U2af1l4
EBF4,Ebf4
IDH3B,Idh3b
ARHGEF40,Arhgef40
TRAPPC8,Trappc8
CDH2,Cdh2
CISD1,Cisd1
MED10,Med10
TMEM215,Tmem215
ZCCHC24,Zcchc24
KLF17,Klf17
TFCP2L1,Tfcp2l1
CLMN,Clmn
BLOC1S6,Bloc1s6
ZFP36L2,Zfp36l2
SMC5,Smc5
LDLRAP1,Ldlrap1
FMO2,Fmo2
CRYBB1,Crybb1
EXOC5,Exoc5
A4GNT,A4gnt
UBXN6,Ubxn6
CTRL,Ctrl
C12orf40,CN725425
PDZD11,Pdzd11
NOD2,Nod2
ALAS2,Alas2
SYNDIG1,Syndig1
BPIFB1,Bpifb1
SPATA25,Spata25
GDF3,Gdf3
MAMDC2,Mamdc2
B4GALT4,B4galt4
OR13C7,Olfr157
NR2C2,Nr2c2
ALDH3A1,Aldh3a1
ATG101,Atg101
CLDN18,Cldn18
AAAS,Aaas
CTB-133G6.1,A430078G23Rik
MRPS22,Mrps22
KCNG4,Kcng4
XKRX,Xkrx
LCN10,Lcn10
DNAJC16,Dnajc16
ECI2,Eci2
ECI2,Eci3
XRCC1,Xrcc1
CDIPT,Cdipt
CSTF2,Cstf2
EXTL2,Extl2
BMI1,Bmi1
PSMD10,Psmd10
UPK1B,Upk1b
PRSS8,Prss8
COMMD3,Commd3
AWAT2,Awat2
MRPS16,Mrps16
KCNQ5,Kcnq5
PCDH9,Pcdh9
INSRR,Insrr
CHERP,Cherp
ADGRB3,Adgrb3
RRAS,Rras
EIF2B2,Eif2b2
PSTPIP1,Pstpip1
GJD2,Gjd2
STIM2,Stim2
RANBP6,Ranbp6
CCPG1,Ccpg1
DMRTC1,Dmrtc1a
DMRTC1,Dmrtc1b
P4HA1,P4ha1
PGAP1,Pgap1
ADCY7,Adcy7
CSTL1,Cstl1
OR12D2,Olfr103
OR12D2,Olfr101
OR12D2,Olfr102
MTMR12,Mtmr12
PCDH20,Pcdh20
CTNND2,Ctnnd2
GPR119,Gpr119
BORCS5,Borcs5
MPV17L,Mpv17l
IFIT2,Ifit2
MTOR,Mtor
C2orf88,1700019D03Rik
SLC9A4,Slc9a4
RP11-545J16.1,Slco1b2
SLCO1B7,Slco1b2
MSTN,Mstn
FBP1,Fbp1
MAZ,Maz
ZEB2,Zeb2
ZNF317,Zfp317
TOMM6,Tomm6
RP11-298J23.10,Prickle4
RP11-298J23.10,Gm21981
GNL3L,Gnl3l
NXN,Nxn
ITIH1,Itih1
FAM161B,Fam161b
PRKX,Prkx
CAMSAP3,Camsap3
GNMT,Gnmt
PPP5C,Ppp5c
SRSF12,Srsf12
KIF18A,Kif18a
CLSPN,Clspn
CCDC160,Ccdc160
ZKSCAN2,Zkscan2
LMAN1,Lman1
KRTAP1-5,Krtap9-3
KRTAP1-5,Krtap1-3
KRTAP1-5,Krtap1-5
KRTAP1-5,Krtap1-4
HRG,Hrg
RNF220,Rnf220
FAM83F,Fam83f
GLS2,Gls2
HTATSF1,Htatsf1
PGM2,Pgm1
RAX,Rax
IQCC,Iqcc
LRRC7,Lrrc7
FZD8,Fzd8
OCIAD2,Ociad2
THAP7,Thap7
DHX9,Dhx9
KLHL14,Klhl14
EID2B,Eid2b
SPACA1,Spaca1
ARHGEF15,Arhgef15
TTN,Ttn
LIN7B,Lin7b
SLC26A5,Slc26a5
ZBTB8OS,Zbtb8os
FGFR3,Fgfr3
HIST2H2AC,Hist2h2ac
DSG3,Dsg3
LDHA,Ldha
ALG14,Alg14
ABCB4,Abcb4
SPAG4,Spag4
KRT12,Krt12
PCGF1,Pcgf1
TEX44,Tex44
KCTD7,Kctd7
PIP5K1A,Pip5k1a
RABGEF1,Rabgef1
RNF38,Rnf38
SUPV3L1,Supv3l1
KRT28,Krt28
NFU1,Nfu1
C20orf141,1700020A23Rik
POLR2C,Polr2c
CCNA2,Ccna2
HIST2H2BF,Hist2h2bb
ATL2,Atl2
CCNY,Ccny
IFT140,Ift140
HLA-DOA,H2-Oa
TMEM86B,Tmem86b
SNRNP70,Snrnp70
PTGS1,Ptgs1
AKAP10,Akap10
SYNE3,Syne3
PPA2,Ppa2
DNAJA1,Dnaja1
SEMA5B,Sema5b
TUBB1,Tubb1
IPO5,Ipo5
GPCPD1,Gpcpd1
MAD2L1BP,Mad2l1bp
CARMIL2,Carmil2
CHD4,Chd4
NCOA5,Ncoa5
FAM174B,Fam174b
LIX1L,Lix1l
PLIN2,Plin2
AC002398.9,Psenen
MAEL,Mael
TRUB2,Trub2
OTUD4,Otud4
LYZL1,Lyzl1
ANXA10,Anxa10
CRISP2,Crisp2
NRAP,Nrap
FZR1,Fzr1
CCL8,Ccl8
NAPSA,Napsa
MAP4K5,Map4k5
COL6A6,Col6a6
NRROS,Nrros
RIMS4,Rims4
ABCC4,Abcc4
CD200,Cd200
GAPDHS,Gapdhs
SP8,Sp8
SULT1A2,Sult1a1
HENMT1,Henmt1
IRF3,Irf3
ABHD3,Abhd3
THOC2,BC005561
THOC2,Thoc2
CEACAM19,Ceacam19
FLNB,Flnb
NFIC,Nfic
ADAMTS17,Adamts17
RPS10,Rps10
CST1,Cst10
TCF23,Tcf23
ZNRD1,Znrd1
ASIC2,Asic2
POLR2I,Polr2i
ABCD3,Abcd3
GPRC5A,Gprc5a
SMIM7,Smim7
EYA2,Eya2
TK2,Tk2
PAICS,Paics
TAF5,Taf5
FPR1,Fpr1
MYOM2,Myom2
IFI44L,Ifi44l
HTR2C,Htr2c
PIGB,Pigb
DCLK1,Dclk1
CHST9,Chst9
ETHE1,Ethe1
TRIM5,Trim12c
TRIM5,Trim30d
TRIM5,Trim30c
TRIM5,Trim12a
TRIM5,Trim30a
TRIM5,Trim5
TOR4A,Tor4a
AQP4,Aqp4
KBTBD11,Kbtbd11
FAM162A,Fam162a
NNT,Nnt
CTC-512J12.6,Zfp112
HIRA,Hira
ZNF618,Zfp618
CHRD,Chrd
NDUFA8,Ndufa8
PABPC4L,Pabpc4l
CST11,Cst11
PFDN5,Pfdn5
TSPAN6,Tspan6
SLC35G2,Slc35g2
HLA-DQB2,H2-Ab1
HTT,Htt
OR10A6,Olfr519
OR10A6,Olfr514
OR10A6,Olfr517
OR10A6,Olfr512
OR10A6,Olfr516
OR10A6,Olfr518
CNTN4,Cntn4
OR2H1,Olfr93
OR2H1,Olfr753-ps1
OR2H1,Olfr91
OR2H1,Olfr90
OR2H1,Olfr92
OR10A3,Olfr519
OR10A3,Olfr514
OR10A3,Olfr517
OR10A3,Olfr512
OR10A3,Olfr516
OR10A3,Olfr518
BUB3,Bub3
NLRP10,Nlrp10
IL3RA,Il3ra
STARD8,Stard8
ARPC4-TTLL3,Ttll3
CST8,Cst8
ADCY4,Adcy4
MPND,Mpnd
GEN1,Gen1
ABCA4,Abca4
NKAIN4,Nkain4
TGDS,Tgds
SNRPN,Snrpn
NEURL1,Neurl1a
OR56B4,Olfr689
OR56B4,Olfr688
FAM102B,Fam102b
ACSBG2,Acsbg2
RNF168,Rnf168
PAQR3,Paqr3
KCNA2,Kcna2
TRMT5,Trmt5
CNGA2,Cnga2
MAP3K19,Map3k19
LY6G5C,Ly6g5c
KLHL26,Klhl26
TCEA2,Tcea2
DNAH5,Dnah5
FAM78A,Fam78a
KCNA10,Kcna10
MFSD6,Mfsd6
PRR30,Prr30
PTPRG,Ptprg
S1PR3,S1pr3
TMEM108,Tmem108
APBA1,Apba1
CENPE,Cenpe
GOLGA8F,Golga2
APLF,Aplf
ADA,Ada
CYBA,Cyba
ARFGAP1,Arfgap1
CCDC61,Ccdc61
PKIG,Pkig
NEIL2,Neil2
RP5-1052I5.2,Hs2st1
KIAA0895,9530077C05Rik
FOXA3,Foxa3
HACD3,Hacd3
C2orf72,2810459M11Rik
FAM149B1,Fam149b
SPIRE1,Spire1
OPA1,Opa1
FLOT1,Flot1
GCHFR,Gchfr
NCDN,Ncdn
GOLGA2,Golga2
FPR2,Fpr-rs7
FPR2,Fpr-rs4
FPR2,Fpr3
FPR2,Fpr2
FPR2,Fpr-rs3
FPR2,Fpr-rs6
NDN,Ndn
TMEM260,Tmem260
BPIFB3,Bpifb3
GRIA3,Gria3
NAT2,Nat3
ZNF575,Zfp575
MTA3,Mta3
PFDN2,Pfdn2
UBA1,Uba1
SEC23A,Sec23a
SLC9A3R2,Slc9a3r2
CT47A10,Gm6268
TNS1,Tns1
MTNR1A,Mtnr1a
MAD2L1,Mad2l1
BPIFB2,Bpifb2
ABCA12,Abca12
PRPS1,Prps1l3
TCF7L2,Tcf7l2
RRP1B,Rrp1b
PRMT9,Prmt9
ABLIM2,Ablim2
STRN3,Strn3
F7,F7
RELB,Relb
LYPD3,Lypd3
TULP2,Tulp2
REXO1,Gm7104
REXO1,Rexo1
NCLN,Ncln
RAB6C,Rab6a
RP11-49K24.6,Gm10784
RP11-49K24.6,Ier3ip1
ZFPM1,Zfpm1
RCN2,Rcn2
BLCAP,Blcap
AKIRIN1,Akirin1
RAD51,Rad51
GOLGA6L9,Golga2
VSTM2A,Vstm2a
HNRNPC,Hnrnpc
VTI1A,Vti1a
VCPKMT,Vcpkmt
FAM172A,Fam172a
HSP90AA1,Hsp90aa1
CH507-9B2.4,D10Jhu81e
GPR39,Gpr39
GALT,Galt
CCL27,Gm13306
CCL27,Ccl27a
CCL27,Ccl27b
USF1,Usf1
SCAF4,Scaf4
AQP2,Aqp2
GNA15,Gna15
ILDR1,Ildr1
ATP13A4,Atp13a4
PGC,Pgc
PDCD1LG2,Pdcd1lg2
ARTN,Artn
ANP32D,Anp32a
TSHZ2,Tshz2
SBNO2,Sbno2
ZDHHC8,Zdhhc8
ACSL5,Acsl5
TAF1B,Taf1b
SCAPER,Scaper
FAIM2,Faim2
UGGT1,Uggt1
ARRDC3,Arrdc3
CCNL1,Ccnl1
GDF11,Gdf11
TMEM43,Tmem43
FABP2,Fabp2
IDH3G,Idh3g
RGP1,Rgp1
PPP2R3B,Ppp2r3d
C2CD2,C2cd2
CCL28,Ccl28
MSMB,Msmb
CTD-2135J3.4,Sox7
PTPDC1,Ptpdc1
FLII,Flii
RP11-977G19.10,Cnpy2
PMS1,Pms1
HOXC13,Hoxc13
ARF4,Arf4
CLCC1,Clcc1
HMGCS1,Hmgcs1
AIM2,Aim2
SLC16A11,Slc16a11
SFPQ,Sfpq
EDDM3A,Eddm3b
EPS15L1,Eps15l1
CACNB4,Cacnb4
AP5S1,Ap5s1
NCKAP5L,Nckap5l
GPATCH4,Gpatch4
MOGAT1,Mogat1
MARVELD1,Marveld1
RGL3,Rgl3
GAB1,Gab1
BCDIN3D,Bcdin3d
IL1RL2,Il1rl2
SPATA33,Spata33
SPINT3,Spint3
SEMA3F,Sema3f
PTPN3,Ptpn3
COX10,Cox10
E2F6,E2f6
GTF2H1,Gtf2h1
LCTL,Lctl
ATPIF1,Atpif1
RBP3,Rbp3
SPRED1,Spred1
POLR2B,Polr2b
AARS,Aars
SCLY,Scly
DHX38,Dhx38
CTB-50L17.10,Hdgfrp2
CCDC142,Gm42688
CCDC142,Ccdc142
TARS,Tars
DRP2,Drp2
CMTM1,Cmtm1
COL20A1,Col20a1
ZDHHC1,Zdhhc1
FAM69C,Fam69c
SNRPC,Snrpc
CLEC7A,Clec7a
CTD-2521M24.13,C430049E01Rik
ADAM10,Adam10
CTD-2132N18.3,Rab5c
ABCE1,Abce1
SPSB2,Spsb2
LRRK2,Lrrk2
SQRDL,Sqrdl
PSKH1,Pskh1
KCNA5,Kcna5
NTHL1,Nthl1
NKX1-2,Nkx1-2
FANCD2OS,Fancd2os
TOP3A,Top3a
EMC3,Emc3
MEF2B,Borcs8
MEF2B,Mef2b
CALHM3,Calhm3
CALHM1,Calhm1
HHIP,Hhip
CEACAM16,Ceacam16
IGSF23,Igsf23
HPSE2,Hpse2
GPR45,Gpr45
POLD2,Pold2
LCN6,Lcn6
EDC4,Edc4
ANKRD34B,Ankrd34b
ZNF768,Zfp768
BAX,Bax
AQP9,Aqp9
PSMA1,Psma1
FDFT1,Fdft1
LAMTOR3,Lamtor3
TAP1,Tap1
PSMD1,Gm21972
PSMD1,Psmd1
CACNA1A,Cacna1a
ANXA3,Anxa3
SOHLH2,Sohlh2
SERBP1,Serbp1
VMA21,Vma21-ps
ZNF322,Zfp322a
MOCOS,Mocos
SLF2,Fam178a
CDK12,Cdk12
GPR19,Gpr19
PLEKHG4,Plekhg4
KCTD1,Kctd1
TUSC5,Tusc5
CT47A2,Gm6268
PSMD2,Psmd2
ELN,Eln
PBX3,Pbx3
TMEM80,Tmem80
PLA2R1,Pla2r1
FOSL2,Fosl2
TNMD,Tnmd
HLA-DQA2,H2-Aa
MAGEB2,Mageb4
ZNF91,Zfp759
ZNF91,Zfp729b
ZNF91,Zfp729a
ZNF91,Zfp458
MRAP,Mrap
STK35,Stk35
ACVRL1,Acvrl1
MOSPD2,Mospd2
PDYN,Pdyn
CGREF1,Cgref1
MED1,Med1
POLR3A,Polr3a
HSDL1,Hsdl1
ALDH5A1,Aldh5a1
MBTPS1,Mbtps1
BTF3L4,Btf3l4
TXNDC12,Txndc12
OR7E24,Olfr868
OR7E24,Olfr869
OR7E24,Olfr873
OR7E24,Olfr872
OR7E24,Olfr866
ZBTB12,Zbtb12
MTMR9,Mtmr9
LYPD1,Lypd1
GOLGA6L10,Golga2
RP11-195F19.29,Il11ra2
RP11-195F19.29,Gm13305
RP11-195F19.29,Il11ra1
PRSS48,Prss48
RAB13,Rab13
HDDC3,Hddc3
CH507-9B2.1,Icosl
PSG9,Ceacam1
PSG9,Ceacam2
KXD1,Kxd1
C2,C2
MAP2K4,Map2k4
RARA,Rara
KLF11,Klf11
JCHAIN,Jchain
FNBP1L,Fnbp1l
SLC1A3,Slc1a3
MARCH7,March7
SCN8A,Scn8a
SPRY2,Spry2
GPRIN2,Gprin2
NEXN,Nexn
MAGEB5,Gm44
MAGEB5,Mageb5
MAGEB5,Gm14781
OPHN1,Ophn1
ERMP1,Ermp1
RELL1,Rell1
ZNHIT1,Znhit1
OSMR,Osmr
SLC6A19,Slc6a19
EFCAB6,Efcab6
NAF1,Naf1
PTGIR,Ptgir
AREG,Areg
SIAH2,Siah2
COL4A5,Col4a5
C20orf144,1700003F12Rik
MT1H,Mt2
WFDC5,Wfdc5
ISL1,Isl1
ARHGAP21,Arhgap21
NPTN,Nptn
SLC22A17,Slc22a17
CD209,Cd209e
CD209,Cd209a
CD209,Cd209b
CD209,Cd209c
CD209,Cd209d
SLC25A35,Slc25a35
MORF4L1,Morf4l1
ACOT4,Acot4
POR,Por
ATXN7L3,Atxn7l3
VGF,Vgf
RIOX1,Riox1
MIEN1,Mien1
PFAS,Pfas
SPSB1,Spsb1
HS3ST3A1,Hs3st3b1
HS3ST3A1,Hs3st3a1
URM1,Urm1
TEPP,Tepp
CCL22,Ccl22
CCL15-CCL14,Ccl6
CCL15-CCL14,Ccl9
GABRA3,Gabra3
CNTLN,Cntln
SLC35G4,Slc35g3
PLIN4,Plin4
STON1,Ston1
STON1,Gtf2a1l
PODXL2,Podxl2
NDUFA4L2,Ndufa4l2
C10orf67,4921504E06Rik
TMEM253,Tmem253
RAB3GAP1,Rab3gap1
CDK2,Cdk2
CCDC171,Ccdc171
RAB5C,Rab5c
ATOH1,Atoh1
EMCN,Emcn
KAT2A,Kat2a
MTIF2,Mtif2
RP11-12J10.3,Mettl10
ANAPC10,Anapc10
YES1,Yes1
PRC1,Prc1
HEATR5A,Heatr5a
SF3B1,Sf3b1
IRF9,Irf9
KCTD9,Kctd9
DBX2,Dbx2
EPHA8,Epha8
IRS1,Irs1
SLC2A13,Slc2a13
FBXO44,Fbxo44
GRID2,Grid2
OR52W1,Olfr692
CHMP3,Chmp3
ABCB5,Abcb5
SP3,Sp3
CMC1,Cmc1
ZC3H6,Zc3h6
NR2C2AP,Nr2c2ap
ALPK1,Alpk1
PRR23C,Prr23a3
PRR23C,Prr23a1
PRR23C,Prr23a2
MAGEA4,Magea1
MAGEA4,Magea10
MAGEA4,Magea8
MAGEA4,Magea2
MAGEA4,Magea6
MAGEA4,3830417A13Rik
MAGEA4,1700080O16Rik
MAGEA4,Magea3
MAGEA4,Magea5
MAGEA4,Magea4
TOPORS-AS1,Toporsos
ARR3,Arr3
DTX3L,Dtx3l
ACAN,Acan
FGF10,Fgf10
CHST15,Chst15
SLC13A5,Slc13a5
VILL,Vill
IL27,Il27
ENDOG,Endog
CDADC1,Cdadc1
RIN2,Rin2
ALDH4A1,Aldh4a1
AGMAT,Agmat
IDNK,Idnk
NHLH2,Nhlh2
HPS1,Hps1
B4GALNT3,B4galnt3
ATP6V1C2,Atp6v1c2
TNNC2,Tnnc2
DDX58,Ddx58
RXFP4,Rxfp4
TRH,Trh
SAAL1,Saal1
GATM,Gatm
SNAPC3,Snapc3
PYROXD1,Pyroxd1
NR4A1,Nr4a1
SHOX2,Shox2
PSD3,Psd3
USMG5,Usmg5
PLEK,Plek
LCN2,Lcn2
ZER1,Zer1
MID2,Mid2
C14orf39,4930447C04Rik
PFN1,Pfn1
WDR62,Wdr62
TPM3,Tpm3
TPM3,Tpm3-rs7
UBE2C,Ube2c
MEF2A,Mef2a
HMGN4,Gm20379
HMGN4,Gm6594
HMGN4,Hmgn2
HMGN4,Gm16494
HMGN4,Gm10282
BLK,Blk
OR11A1,Olfr96
PCDH19,Pcdh19
RASEF,Rasef
TM4SF19-TCTEX1D2,Tm4sf19
OCIAD1,Ociad1
C1GALT1C1,C1galt1c1
AURKC,Aurkc
PLA2G12B,Pla2g12b
ZNF852,Zkscan7
ZBTB38,Zbtb38
SLCO1A2,Gm5724
SLCO1A2,Slco1a4
SLCO1A2,Gm6614
SLCO1A2,Slco1a1
SLCO1A2,Slco1a6
SLCO1A2,Slco1a5
LAMTOR5,Lamtor5
KDM3A,Kdm3a
RTCA,Rtca
CUL3,Cul3
OR13D1,Olfr270
OR1D5,Olfr412
H1FOO,H1foo
RETSAT,Retsat
IQCF6,Iqcf6
OR13C3,Olfr273
IL1RAPL1,Il1rapl1
RP11-298I3.5,Haus4
KATNB1,Katnb1
PAIP1,Paip1
TBX20,Tbx20
ATP8B3,Atp8b3
ATPAF1,Atpaf1
CYP24A1,Cyp24a1
IFIT3,Ifit3b
IFIT3,Ifit3
TMEM41A,Tmem41a
SPATA31D4,1700014D04Rik
SPATA31D4,Spata31d1a
SPATA31D4,Spata31d1c
SPATA31D4,Spata31d1b
SPATA31D4,Spata31d1d
C14orf159,9030617O03Rik
CPNE9,Cpne9
PDE11A,Pde11a
OR4K1,Olfr728
ANKRD53,Ankrd53
UCK2,Uck2
CETN1,Cetn1
TEX261,Tex261
SLC6A13,Slc6a13
RSAD2,Rsad2
DGCR6L,Dgcr6
TDRP,Tdrp
ANXA8L1,Anxa8
ADSSL1,Adssl1
DCAF1,Vprbp
FAM222B,Fam222b
SLC5A2,Slc5a2
WNK3,Wnk3
DNAJB1,Dnajb1
FGF21,Fgf21
GTF2A1,Gtf2a1
GTF2A1,Gm5435
CYP17A1,Cyp17a1
C5orf34,4833420G17Rik
AHCYL1,Ahcyl1
GPX5,Gpx5
PPP3R2,Ppp3r2
ADGRG3,Adgrg3
TUBA3C,Tuba3a
SMIM17,Smim17
SLC16A13,Slc16a13
FARSB,Farsb
CCDC74A,Ccdc74a
DMBX1,Dmbx1
NUDT15,Nudt15
NUDT15,Gm5519
SWSAP1,Swsap1
PPFIBP2,Ppfibp2
DKK1,Dkk1
PURB,Purb
C9orf43,4933430I17Rik
PLCXD1,Plcxd1
SLC6A5,Slc6a5
RP11-14J7.7,Rnase12
ST8SIA5,St8sia5
GALNT3,Galnt3
CCDC27,Ccdc27
MROH8,Mroh8
NMRAL1,Nmral1
CTNNA3,Ctnna3
HTATIP2,Htatip2
KLHL25,Klhl25
RABGGTA,Rabggta
SIX5,Six5
PBX1,Pbx1
ARHGEF1,Arhgef1
CTD-2575K13.6,Gm4881
PPP2R5C,Ppp2r5c
FITM1,Fitm1
ANGPTL3,Angptl3
FES,Fes
AES,Aes
ICA1L,Ica1l
AKAP4,Akap4
ST6GALNAC4,St6galnac4
VSIG4,Vsig4
SLC9A9,Slc9a9
RNPS1,Rnps1
IGHV3-66,Ighv5-17
IGHV3-66,Ighv5-6
IGHV3-66,Ighv5-9-1
IGHV3-66,Ighv5-12
IGHV3-66,Ighv5-9
IGHV3-66,Ighv5-16
IGHV3-66,Ighv5-15
IGHV3-66,Ighv5-4
BHMG1,Gm4969
CREB3L4,Creb3l4
PLPPR1,Plppr1
SMARCA2,Smarca2
GOLPH3L,Golph3l
DZANK1,Dzank1
LMNTD2,Lmntd2
ARHGAP15,Arhgap15
AKR1C2,Akr1c20
AKR1C2,Akr1c18
AKR1C2,Akr1c12
AKR1C2,Akr1c13
AKR1C2,Akr1c19
AKR1C2,Akr1c14
AKR1C2,Akr1c21
AKR1C2,Akr1c6
AKR1C2,Akr1cl
MED11,Med11
PIGK,Pigk
CBWD7,Cbwd1
IGHV4-34,Ighv3-5
IGHV4-34,Ighv3-6
IGHV4-34,Ighv3-8
IGHV4-34,Ighv3-4
IGHV4-34,Ighv3-3
